name,director,year,language,country,runtime,avg_rating
Psycho,['Alfred Hitchcock'],1960,['English'],['USA'],109,4.32
The Human Condition II: Road to Eternity,['Masaki Kobayashi'],1959,"['Japanese', 'Chinese', 'Russian']",['Japan'],178,4.41
Floating Weeds,['Yasujirō Ozu'],1959,['Japanese'],['Japan'],115,4.1
The 400 Blows,['François Truffaut'],1959,"['French', 'English']",['France'],99,4.32
The Human Condition I: No Greater Love,['Masaki Kobayashi'],1959,"['Japanese', 'Chinese']",['Japan'],206,4.5
Wild Strawberries,['Ingmar Bergman'],1957,"['Swedish', 'Latin']",['Sweden'],91,4.33
The Blue Sky Maiden,['Yasuzō Masumura'],1957,['Japanese'],['Japan'],89,3.82
The Seventh Seal,['Ingmar Bergman'],1957,['Swedish'],['Sweden'],96,4.34
I Will Buy You,['Masaki Kobayashi'],1956,['Japanese'],['Japan'],111,3.53
The Thick-Walled Room,['Masaki Kobayashi'],1956,"['Japanese', 'English']",['Japan'],110,3.57
Aparajito,['Satyajit Ray'],1956,"['Bengali, Bangla', 'Sanskrit (Saṁskṛta)', 'English']",['India'],110,4.22
Godzilla Raids Again,['Motoyoshi Oda'],1955,['Japanese'],['Japan'],82,2.69
Godzilla,['Ishirō Honda'],1954,['Japanese'],['Japan'],96,4.04
La Strada,['Federico Fellini'],1954,['Italian'],['Italy'],115,4.17
Seven Samurai,['Akira Kurosawa'],1954,['Japanese'],['Japan'],207,4.6
Ugetsu,['Kenji Mizoguchi'],1953,['Japanese'],['Japan'],96,4.25
Ikiru,['Akira Kurosawa'],1952,['Japanese'],['Japan'],143,4.52
Rashomon,['Akira Kurosawa'],1950,['Japanese'],['Japan'],88,4.23
Late Spring,['Yasujirō Ozu'],1949,['Japanese'],['Japan'],110,4.33
Bicycle Thieves,['Vittorio De Sica'],1948,['Italian'],['Italy'],89,4.31
Shoeshine,['Vittorio De Sica'],1946,"['Italian', 'English']",['Italy'],87,4.05
"Rome, Open City",['Roberto Rossellini'],1945,"['Italian', 'German']",['Italy'],103,4.15
Double Indemnity,['Billy Wilder'],1944,['English'],['USA'],107,4.26
Humanity and Paper Balloons,['Sadao Yamanaka'],1937,['Japanese'],['Japan'],86,3.94
Osaka Elegy,['Kenji Mizoguchi'],1936,['Japanese'],['Japan'],71,3.67
A Story of Floating Weeds,['Yasujirō Ozu'],1934,['Japanese'],['Japan'],86,3.83
Japanese Girls at the Harbor,['Hiroshi Shimizu'],1933,['No spoken language'],['Japan'],72,3.76
Westfront 1918,['G.W. Pabst'],1930,"['German', 'French']",['Germany'],97,3.68
All Quiet on the Western Front,['Lewis Milestone'],1930,"['English', 'French', 'German', 'Latin']",['USA'],133,4.14
